Unnamed: 0,hsa-mir-210,hsa-mir-944,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-6499,hsa-mir-139,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-628,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-60-2719-01,7034,1225,18280,55902,80,17,23,18,356,38,62291,871,40,0,161,0,0,0,0,0,0
TCGA-60-2720-01,2797,180,18523,36503,80,272,8,123,1371,7,69092,2868,33,29,115,2,0,1,0,0,0
TCGA-60-2721-01,3889,304,38414,43227,86,15,14,27,107,8,85338,531,12,0,88,0,0,1,0,1,0
TCGA-60-2722-01,11703,2414,59340,60576,108,4,7,36,180,8,83456,409,7,0,89,2,0,0,4,0,0
TCGA-60-2723-01,3609,929,21072,71815,71,60,11,23,206,17,69813,1022,19,0,131,1,20,13,0,3,7
TCGA-60-2724-01,3446,536,17993,22362,16,194,18,29,103,24,18295,805,18,38,85,0,1,0,0,0,0
TCGA-60-2725-01,1973,102,22758,39142,74,13,0,57,511,3,44529,1098,16,2,106,0,1,0,0,0,0
TCGA-63-5128-01,9349,618,18898,46461,51,6,8,9,186,7,60644,314,3,0,35,0,0,0,0,0,0
TCGA-63-5131-01,3228,114,23957,19581,24,3,3,28,32,4,22463,433,0,1,69,0,0,0,0,0,0
TCGA-63-6202-01,2928,37,237,160238,83,12,0,429,4025,15,193108,720,56,11,80,1,0,565,0,0,16
TCGA-63-7020-01,36465,796,105966,145522,371,2839,41,136,1709,19,269834,4468,71,3,236,8,0,2,2,2,0
TCGA-63-7021-01,12479,714,160082,64749,135,12,34,184,620,27,87045,1458,22,4,88,1,0,0,0,0,0
TCGA-63-7022-01,19921,261,50759,65775,75,168,11,266,406,27,103185,1761,69,4,116,4,0,4,0,41,0
TCGA-63-A5M9-01,4596,279,29774,30042,111,116,10,86,96,14,80393,1232,11,8,25,0,90,0,1,0,0
TCGA-63-A5MB-01,8501,1906,43309,88005,299,10,4,99,1054,19,240072,2690,24,0,20,0,2,0,1,17,0
TCGA-63-A5MG-01,5336,310,47660,39448,112,319,53,68,393,3,145403,5460,14,103,61,22,1,2,0,0,0
TCGA-63-A5MH-01,15652,1299,96365,64946,248,80,46,29,2210,20,234282,2142,121,21,75,0,2,0,0,5,0
TCGA-63-A5MI-01,4344,794,40239,54423,95,43,63,44,210,15,148982,2482,47,10,23,0,16,0,0,0,0
